监测站,AQI,空气质量等级,PM2.5,PM10,首要污染物
武汉汉口江滩,49,优,23 μg/m3,48 μg/m3,
武汉东湖梨园,47,优,27 μg/m3,46 μg/m3,
武汉汉阳月湖,46,优,26 μg/m3,45 μg/m3,
武汉沉湖七壕,44,优,20 μg/m3,43 μg/m3,
武汉吴家山,41,优,22 μg/m3,40 μg/m3,
武汉汉口花桥,40,优,19 μg/m3,39 μg/m3,
芜湖监测站,57,良,28 μg/m3,62 μg/m3,PM10
芜湖科创中心,52,良,16 μg/m3,52 μg/m3,PM10
芜湖四水厂,52,良,28 μg/m3,52 μg/m3,PM10
芜湖济民医院(对照点),49,优,24 μg/m3,48 μg/m3,
吴江市环保局,45,优,13 μg/m3,44 μg/m3,
吴江开发区,38,优,17 μg/m3,37 μg/m3,
吴江教师进修学校,-,-,-,-,-
武威东关招商场,41,优,12 μg/m3,40 μg/m3,
武威监测站,19,优,8 μg/m3,19 μg/m3,
吴忠新区二泵站,48,优,8 μg/m3,47 μg/m3,
吴忠高级中学,39,优,9 μg/m3,38 μg/m3,
吴忠教育园区,31,优,9 μg/m3,30 μg/m3,
梧州龙圩,86,良,64 μg/m3,84 μg/m3,PM2.5
梧州市环保,82,良,61 μg/m3,89 μg/m3,PM2.5
梧州龙新,80,良,53 μg/m3,108 μg/m3,PM10
梧州云盖小学,63,良,42 μg/m3,74 μg/m3,PM10
五家渠农水大厦,56,良,14 μg/m3,61 μg/m3,PM10
文山州市便民服务中心,35,优,16 μg/m3,34 μg/m3,
文山州州水务局,32,优,20 μg/m3,31 μg/m3,
瓦房店抱龙社区,-,-,-,-,-
瓦房店文圣社区,-,-,-,-,-
乌兰察布集宁新区,22,优,4 μg/m3,22 μg/m3,
乌兰察布光明街小学,16,优,11 μg/m3,12 μg/m3,
西安阎良区,85,良,63 μg/m3,96 μg/m3,PM2.5
西安经开区,63,良,31 μg/m3,75 μg/m3,PM10
西安临潼区,60,良,20 μg/m3,68 μg/m3,PM10
西安草滩,57,良,23 μg/m3,62 μg/m3,PM10
西安曲江文化产业集团,55,良,14 μg/m3,59 μg/m3,PM10
西安市人民体育场,53,良,16 μg/m3,55 μg/m3,PM10
西安纺织城,52,良,16 μg/m3,52 μg/m3,PM10
西安广运潭,50,优,14 μg/m3,49 μg/m3,
西安兴庆小区,49,优,13 μg/m3,48 μg/m3,
西安高压开关厂,44,优,14 μg/m3,43 μg/m3,
西安高新西区,42,优,13 μg/m3,41 μg/m3,
西安长安区,40,优,13 μg/m3,39 μg/m3,
西安小寨,34,优,12 μg/m3,33 μg/m3,
厦门鼓浪屿,54,良,30 μg/m3,57 μg/m3,PM10
厦门湖里中学,54,良,32 μg/m3,57 μg/m3,PM10
厦门洪文,51,良,29 μg/m3,50 μg/m3,PM10
厦门溪东,20,优,12 μg/m3,20 μg/m3,
咸阳师范学院,50,优,17 μg/m3,49 μg/m3,
咸阳中华小区,35,优,13 μg/m3,34 μg/m3,
咸阳气象站(对照点),32,优,13 μg/m3,31 μg/m3,
咸阳两寺渡,23,优,13 μg/m3,23 μg/m3,
西宁市环境监测站,55,良,38 μg/m3,57 μg/m3,PM2.5
西宁城北区政府,42,优,13 μg/m3,41 μg/m3,
西宁第五水厂,39,优,13 μg/m3,38 μg/m3,
西宁四陆医院,36,优,18 μg/m3,35 μg/m3,
邢台邢师高专,43,优,14 μg/m3,42 μg/m3,
邢台路桥公司,36,优,5 μg/m3,35 μg/m3,
邢台市环保局,36,优,8 μg/m3,35 μg/m3,
邢台达活泉,28,优,12 μg/m3,27 μg/m3,
许昌市一中,59,良,29 μg/m3,67 μg/m3,PM10
许昌监测站,55,良,37 μg/m3,58 μg/m3,PM10
许昌开发区,55,良,31 μg/m3,59 μg/m3,PM10
徐州淮塔,97,良,73 μg/m3,91 μg/m3,PM2.5
徐州铜山区招生办,96,良,72 μg/m3,119 μg/m3,PM2.5
徐州鼓楼区政府,92,良,69 μg/m3,102 μg/m3,PM2.5
